User,Time,CPU,RAM
alberto,Nov 23 15:34:50,0,1.487
alberto,Nov 23 15:34:52,0,1.487
alberto,Nov 23 15:34:53,5.6,1.487
alberto,Nov 23 15:34:54,0,1.487
alberto,Nov 23 15:34:55,0,1.487
alberto,Nov 23 15:34:57,0,1.487
alberto,Nov 23 15:34:58,0,1.487
alberto,Nov 23 15:34:59,0,1.487
alberto,Nov 23 15:35:01,0,1.487
alberto,Nov 23 15:35:02,0,1.487
alberto,Nov 23 15:35:03,0,1.487
alberto,Nov 23 15:35:04,0,1.487
alberto,Nov 23 15:35:06,0,1.487
alberto,Nov 23 15:35:07,0,1.487
alberto,Nov 23 15:35:08,0,1.487
alberto,Nov 23 15:35:09,0,1.487
alberto,Nov 23 15:35:11,0,1.487
alberto,Nov 23 15:35:12,0,1.487
alberto,Nov 23 15:35:13,0,1.487
alberto,Nov 23 15:35:15,0,1.487
forrest.burton,Nov 23 15:35:16,41.2,2.594
forrest.burton,Nov 23 15:35:17,5.9,2.594
forrest.burton,Nov 23 15:35:18,11.8,2.594
forrest.burton,Nov 23 15:35:20,17.7,2.594
forrest.burton,Nov 23 15:35:21,11.8,2.594
forrest.burton,Nov 23 15:35:22,23.6,2.594
forrest.burton,Nov 23 15:35:23,17.6,2.594
forrest.burton,Nov 23 15:35:25,27.9,2.594
forrest.burton,Nov 23 15:35:26,11.2,2.594
forrest.burton,Nov 23 15:35:27,29.4,2.594
forrest.burton,Nov 23 15:35:28,23.6,2.594
forrest.burton,Nov 23 15:35:30,33.4,2.594
forrest.burton,Nov 23 15:35:31,22.2,2.594
forrest.burton,Nov 23 15:35:32,17.7,2.594
forrest.burton,Nov 23 15:35:34,5.9,2.594
forrest.burton,Nov 23 15:35:35,11.8,2.594
forrest.burton,Nov 23 15:35:36,29.4,2.594
forrest.burton,Nov 23 15:35:37,27.8,2.594
forrest.burton,Nov 23 15:35:39,29.5,2.594
forrest.burton,Nov 23 15:35:40,11.8,2.594
jack.barber,Nov 23 15:35:41,0,1.033
jack.barber,Nov 23 15:35:42,11.8,1.033
jack.barber,Nov 23 15:35:44,0,1.033
jack.barber,Nov 23 15:35:45,0,1.033
jack.barber,Nov 23 15:35:46,0,1.033
jack.barber,Nov 23 15:35:48,5.9,1.033
jack.barber,Nov 23 15:35:49,0,1.033
jack.barber,Nov 23 15:35:50,0,1.033
jack.barber,Nov 23 15:35:51,0,1.033
jack.barber,Nov 23 15:35:53,0,1.033
naimul,Nov 23 15:35:54,0,2.283
naimul,Nov 23 15:35:55,0,2.283
naimul,Nov 23 15:35:56,0,2.283
naimul,Nov 23 15:35:58,0,2.283
naimul,Nov 23 15:35:59,0,2.283
naimul,Nov 23 15:36:00,0,2.283
naimul,Nov 23 15:36:01,0,2.283
naimul,Nov 23 15:36:03,0,2.283
naimul,Nov 23 15:36:04,0,2.283
naimul,Nov 23 15:36:05,0,2.283
